Property_Type,Count,Percentage
Apartment,8278,43.306303949777664
Chalet,3968,20.758566570755953
Villa,3149,16.473973319382683
Townhouse,1267,6.628302380329584
Twin House,791,4.138111430813497
Duplex,612,3.2016740779492543
Penthouse,559,2.924404917603976
iVilla,262,1.3706513209521318
Hotel Apartment,102,0.5336123463248758
Land,56,0.2929636411195396
Cabin,37,0.193565262882553
Whole Building,13,0.06800941668846455
Palace,7,0.03662045513994245
Roof,6,0.0313889615485221
Full Floor,4,0.020925974365681402
Bulk Sale Unit,3,0.01569448077426105
Bungalow,1,0.0052314935914203504
